t,theta,omega
0,0.5,0
0.01,0.5,-0.0470316
0.02,0.49953,-0.0940633
0.03,0.498589,-0.141054
0.04,0.497179,-0.187965
0.05,0.495299,-0.234753
0.06,0.492951,-0.28138
0.07,0.490138,-0.327803
0.08,0.48686,-0.373983
0.09,0.48312,-0.41988
0.1,0.478921,-0.465452
0.11,0.474266,-0.510658
0.12,0.46916,-0.555459
0.13,0.463605,-0.599814
0.14,0.457607,-0.643682
0.15,0.45117,-0.687023
0.16,0.4443,-0.729796
0.17,0.437002,-0.771962
0.18,0.429282,-0.81348
0.19,0.421148,-0.854311
0.2,0.412605,-0.894415
0.21,0.40366,-0.933753
0.22,0.394323,-0.972286
0.23,0.3846,-1.00997
0.24,0.3745,-1.04678
0.25,0.364032,-1.08267
0.26,0.353206,-1.11759
0.27,0.34203,-1.15153
0.28,0.330515,-1.18443
0.29,0.31867,-1.21627
0.3,0.306508,-1.247
0.31,0.294038,-1.2766
0.32,0.281272,-1.30503
0.33,0.268221,-1.33226
0.34,0.254899,-1.35826
0.35,0.241316,-1.383
0.36,0.227486,-1.40644
0.37,0.213422,-1.42856
0.38,0.199136,-1.44934
0.39,0.184643,-1.46875
0.4,0.169955,-1.48676
0.41,0.155087,-1.50335
0.42,0.140054,-1.51851
0.43,0.124869,-1.5322
0.44,0.109547,-1.54442
0.45,0.0941027,-1.55514
0.46,0.0785513,-1.56436
0.47,0.0629077,-1.57206
0.48,0.0471871,-1.57823
0.49,0.0314048,-1.58285
0.5,0.0155763,-1.58593
0.51,-0.000283061,-1.58746
0.52,-0.0161577,-1.58743
0.53,-0.032032,-1.58585
0.54,-0.0478905,-1.58271
0.55,-0.0637176,-1.57801
0.56,-0.0794977,-1.57176
0.57,-0.0952153,-1.56397
0.58,-0.110855,-1.55465
0.59,-0.126402,-1.54379
0.6,-0.141839,-1.53143
0.61,-0.157154,-1.51756
0.62,-0.172329,-1.50221
0.63,-0.187351,-1.48538
0.64,-0.202205,-1.46711
0.65,-0.216876,-1.44741
0.66,-0.231351,-1.4263
0.67,-0.245614,-1.40381
0.68,-0.259652,-1.37996
0.69,-0.273451,-1.35477
0.7,-0.286999,-1.32828
0.71,-0.300282,-1.30051
0.72,-0.313287,-1.27149
0.73,-0.326002,-1.24126
0.74,-0.338414,-1.20984
0.75,-0.350513,-1.17727
0.76,-0.362285,-1.14359
0.77,-0.373721,-1.10882
0.78,-0.384809,-1.073
0.79,-0.395539,-1.03618
0.8,-0.405901,-0.998379
0.81,-0.415885,-0.959645
0.82,-0.425481,-0.920013
0.83,-0.434681,-0.879521
0.84,-0.443477,-0.838209
0.85,-0.451859,-0.796116
0.86,-0.45982,-0.753282
0.87,-0.467353,-0.709746
0.88,-0.47445,-0.66555
0.89,-0.481106,-0.620733
0.9,-0.487313,-0.575336
0.91,-0.493066,-0.5294
0.92,-0.49836,-0.482967
0.93,-0.50319,-0.436076
0.94,-0.507551,-0.38877
0.95,-0.511439,-0.34109
0.96,-0.514849,-0.293077
0.97,-0.51778,-0.244772
0.98,-0.520228,-0.196217
0.99,-0.52219,-0.147454
1,-0.523665,-0.0985235
1.01,-0.52465,-0.0494679
1.02,-0.525145,-0.0003286
1.03,-0.525148,0.0488527
1.04,-0.524659,0.0980342
1.05,-0.523679,0.147174
1.06,-0.522207,0.196231
1.07,-0.520245,0.245163
1.08,-0.517793,0.293928
1.09,-0.514854,0.342484
1.1,-0.511429,0.390789
1.11,-0.507521,0.438801
1.12,-0.503133,0.486479
1.13,-0.498268,0.53378
1.14,-0.492931,0.580663
1.15,-0.487124,0.627085
1.16,-0.480853,0.673004
1.17,-0.474123,0.718379
1.18,-0.466939,0.763167
1.19,-0.459308,0.807327
1.2,-0.451234,0.850818
1.21,-0.442726,0.893597
1.22,-0.43379,0.935623
1.23,-0.424434,0.976856
1.24,-0.414665,1.01725
1.25,-0.404493,1.05678
1.26,-0.393925,1.09538
1.27,-0.382971,1.13304
1.28,-0.371641,1.16969
1.29,-0.359944,1.20532
1.3,-0.347891,1.23987
1.31,-0.335492,1.27332
1.32,-0.322759,1.30561
1.33,-0.309703,1.33673
1.34,-0.296335,1.36663
1.35,-0.282669,1.39528
1.36,-0.268716,1.42264
1.37,-0.25449,1.44868
1.38,-0.240003,1.47338
1.39,-0.225269,1.4967
1.4,-0.210303,1.51861
1.41,-0.195116,1.53909
1.42,-0.179726,1.55811
1.43,-0.164144,1.57565
1.44,-0.148388,1.59168
1.45,-0.132471,1.60618
1.46,-0.116409,1.61914
1.47,-0.100218,1.63053
1.48,-0.0839127,1.64035
1.49,-0.0675093,1.64857
1.5,-0.0510236,1.65519
1.51,-0.0344718,1.66019
1.52,-0.0178699,1.66357
1.53,-0.00123418,1.66532
1.54,0.015419,1.66544
1.55,0.0320735,1.66393
1.56,0.0487128,1.66079
1.57,0.0653206,1.65601
1.58,0.0818807,1.6496
1.59,0.0983768,1.64158
1.6,0.114793,1.63195
1.61,0.131112,1.62071
1.62,0.147319,1.60788
1.63,0.163398,1.59348
1.64,0.179333,1.57753
1.65,0.195108,1.56003
1.66,0.210708,1.54101
1.67,0.226118,1.52049
1.68,0.241323,1.4985
1.69,0.256308,1.47505
1.7,0.271059,1.45018
1.71,0.285561,1.42392
1.72,0.2998,1.39628
1.73,0.313763,1.36731
1.74,0.327436,1.33703
1.75,0.340806,1.30548
1.76,0.353861,1.27269
1.77,0.366588,1.2387
1.78,0.378975,1.20354
1.79,0.39101,1.16724
1.8,0.402683,1.12986
1.81,0.413981,1.09141
1.82,0.424895,1.05195
1.83,0.435415,1.01151
1.84,0.44553,0.970133
1.85,0.455231,0.927858
1.86,0.46451,0.884726
1.87,0.473357,0.840779
1.88,0.481765,0.796058
1.89,0.489726,0.750604
1.9,0.497232,0.704459
1.91,0.504276,0.657666
1.92,0.510853,0.610266
1.93,0.516956,0.562303
1.94,0.522579,0.513819
1.95,0.527717,0.464855
1.96,0.532365,0.415456
1.97,0.53652,0.365663
1.98,0.540176,0.31552
1.99,0.543332,0.265068
2,0.545982,0.214351
2.01,0.548126,0.163412
2.02,0.54976,0.112293
2.03,0.550883,0.0610376
2.04,0.551493,0.00968821
2.05,0.55159,-0.0417122
2.06,0.551173,-0.0931208
2.07,0.550242,-0.144494
2.08,0.548797,-0.19579
2.09,0.546839,-0.246965
2.1,0.544369,-0.297976
2.11,0.54139,-0.34878
2.12,0.537902,-0.399334
2.13,0.533908,-0.449594
2.14,0.529413,-0.499517
2.15,0.524417,-0.54906
2.16,0.518927,-0.59818
2.17,0.512945,-0.646832
2.18,0.506477,-0.694974
2.19,0.499527,-0.742563
2.2,0.492101,-0.789554
2.21,0.484206,-0.835904
2.22,0.475847,-0.88157
2.23,0.467031,-0.926509
2.24,0.457766,-0.970677
2.25,0.448059,-1.01403
2.26,0.437919,-1.05653
2.27,0.427353,-1.09813
2.28,0.416372,-1.13879
2.29,0.404984,-1.17847
2.3,0.3932,-1.21712
2.31,0.381028,-1.2547
2.32,0.368481,-1.29118
2.33,0.35557,-1.32652
2.34,0.342304,-1.36067
2.35,0.328698,-1.3936
2.36,0.314762,-1.42527
2.37,0.300509,-1.45564
2.38,0.285953,-1.48468
2.39,0.271106,-1.51235
2.4,0.255982,-1.53862
2.41,0.240596,-1.56346
2.42,0.224962,-1.58683
2.43,0.209093,-1.60872
2.44,0.193006,-1.62908
2.45,0.176715,-1.64789
2.46,0.160236,-1.66514
2.47,0.143585,-1.68079
2.48,0.126777,-1.69483
2.49,0.109829,-1.70723
2.5,0.0927565,-1.71799
2.51,0.0755767,-1.72707
2.52,0.058306,-1.73448
2.53,0.0409612,-1.7402
2.54,0.0235592,-1.74421
2.55,0.00611709,-1.74652
2.56,-0.0113481,-1.74712
2.57,-0.0288194,-1.74601
2.58,-0.0462795,-1.74318
2.59,-0.0637113,-1.73865
2.6,-0.0810978,-1.7324
2.61,-0.0984218,-1.72445
2.62,-0.115666,-1.71481
2.63,-0.132814,-1.70349
2.64,-0.149849,-1.6905
2.65,-0.166754,-1.67586
2.66,-0.183513,-1.65957
2.67,-0.200109,-1.64167
2.68,-0.216525,-1.62217
2.69,-0.232747,-1.6011
2.7,-0.248758,-1.57847
2.71,-0.264543,-1.55432
2.72,-0.280086,-1.52867
2.73,-0.295373,-1.50155
2.74,-0.310388,-1.47299
2.75,-0.325118,-1.44303
2.76,-0.339548,-1.41169
2.77,-0.353665,-1.37902
2.78,-0.367455,-1.34504
2.79,-0.380906,-1.3098
2.8,-0.394004,-1.27333
2.81,-0.406737,-1.23567
2.82,-0.419094,-1.19686
2.83,-0.431062,-1.15694
2.84,-0.442632,-1.11595
2.85,-0.453791,-1.07394
2.86,-0.464531,-1.03093
2.87,-0.47484,-0.986982
2.88,-0.48471,-0.942131
2.89,-0.494131,-0.896421
2.9,-0.503095,-0.849895
2.91,-0.511594,-0.802597
2.92,-0.51962,-0.754571
2.93,-0.527166,-0.705859
2.94,-0.534225,-0.656506
2.95,-0.54079,-0.606556
2.96,-0.546855,-0.556053
2.97,-0.552416,-0.505041
2.98,-0.557466,-0.453563
2.99,-0.562002,-0.401665
3,-0.566019,-0.349389
3.01,-0.569512,-0.29678
3.02,-0.57248,-0.243883
3.03,-0.574919,-0.19074
3.04,-0.576826,-0.137397
3.05,-0.5782,-0.0838963
3.06,-0.579039,-0.0302829
3.07,-0.579342,0.0233994
3.08,-0.579108,0.0771066
3.09,-0.578337,0.130795
3.1,-0.577029,0.184419
3.11,-0.575185,0.237936
3.12,-0.572806,0.291302
3.13,-0.569893,0.344471
3.14,-0.566448,0.3974
3.15,-0.562474,0.450044
3.16,-0.557973,0.502359
3.17,-0.55295,0.5543
3.18,-0.547407,0.605822
3.19,-0.541349,0.656881
3.2,-0.53478,0.707431
3.21,-0.527706,0.757428
3.22,-0.520131,0.806826
3.23,-0.512063,0.855581
3.24,-0.503507,0.903648
3.25,-0.494471,0.950981
3.26,-0.484961,0.997536
3.27,-0.474986,1.04327
3.28,-0.464553,1.08813
3.29,-0.453672,1.13208
3.3,-0.442351,1.17508
3.31,-0.4306,1.21707
3.32,-0.418429,1.25802
3.33,-0.405849,1.29788
3.34,-0.39287,1.33661
3.35,-0.379504,1.37417
3.36,-0.365763,1.41051
3.37,-0.351657,1.44559
3.38,-0.337202,1.47939
3.39,-0.322408,1.51184
3.4,-0.307289,1.54292
3.41,-0.29186,1.5726
3.42,-0.276134,1.60082
3.43,-0.260126,1.62757
3.44,-0.24385,1.6528
3.45,-0.227322,1.67649
3.46,-0.210557,1.6986
3.47,-0.193571,1.7191
3.48,-0.17638,1.73797
3.49,-0.159001,1.75518
3.5,-0.141449,1.77072
3.51,-0.123742,1.78455
3.52,-0.105896,1.79665
3.53,-0.0879296,1.80702
3.54,-0.0698594,1.81564
3.55,-0.051703,1.82248
3.56,-0.0334782,1.82755
3.57,-0.0152026,1.83084
3.58,0.00310577,1.83233
3.59,0.0214291,1.83202
3.6,0.0397493,1.82992
3.61,0.0580485,1.82602
3.62,0.0763088,1.82033
3.63,0.0945121,1.81285
3.64,0.112641,1.8036
3.65,0.130677,1.79257
3.66,0.148602,1.77979
3.67,0.1664,1.76526
3.68,0.184053,1.74901
3.69,0.201543,1.73106
3.7,0.218854,1.71142
3.71,0.235968,1.69012
3.72,0.252869,1.66719
3.73,0.269541,1.64265
3.74,0.285967,1.61652
3.75,0.302133,1.58885
3.76,0.318021,1.55966
3.77,0.333618,1.52899
3.78,0.348908,1.49686
3.79,0.363876,1.46332
3.8,0.378509,1.42841
3.81,0.392794,1.39216
3.82,0.406715,1.35461
3.83,0.420261,1.3158
3.84,0.433419,1.27578
3.85,0.446177,1.23458
3.86,0.458523,1.19225
3.87,0.470445,1.14882
3.88,0.481934,1.10436
3.89,0.492977,1.05889
3.9,0.503566,1.01246
3.91,0.513691,0.965124
3.92,0.523342,0.916918
3.93,0.532511,0.86789
3.94,0.54119,0.818085
3.95,0.549371,0.767548
3.96,0.557046,0.716325
3.97,0.564209,0.664461
3.98,0.570854,0.612002
3.99,0.576974,0.558994
4,0.582564,0.505481
4.01,0.587619,0.45151
4.02,0.592134,0.397125
4.03,0.596105,0.342372
4.04,0.599529,0.287297
4.05,0.602402,0.231943
4.06,0.604721,0.176358
4.07,0.606485,0.120585
4.08,0.607691,0.0646692
4.09,0.608337,0.00865675
4.1,0.608424,-0.0474078
4.11,0.60795,-0.103479
4.12,0.606915,-0.159513
4.13,0.60532,-0.215463
4.14,0.603165,-0.271284
4.15,0.600453,-0.326931
4.16,0.597183,-0.382359
4.17,0.59336,-0.437523
4.18,0.588984,-0.492375
4.19,0.584061,-0.546871
4.2,0.578592,-0.600965
4.21,0.572582,-0.654611
4.22,0.566036,-0.707762
4.23,0.558959,-0.760372
4.24,0.551355,-0.812395
4.25,0.543231,-0.863784
4.26,0.534593,-0.914492
4.27,0.525448,-0.964473
4.28,0.515803,-1.01368
4.29,0.505667,-1.06207
4.3,0.495046,-1.10959
4.31,0.48395,-1.15619
4.32,0.472388,-1.20183
4.33,0.46037,-1.24647
4.34,0.447905,-1.29005
4.35,0.435005,-1.33254
4.36,0.421679,-1.37388
4.37,0.40794,-1.41403
4.38,0.3938,-1.45295
4.39,0.379271,-1.49059
4.4,0.364365,-1.52691
4.41,0.349096,-1.56187
4.42,0.333477,-1.59543
4.43,0.317523,-1.62754
4.44,0.301247,-1.65816
4.45,0.284666,-1.68727
4.46,0.267793,-1.71482
4.47,0.250645,-1.74078
4.48,0.233237,-1.76511
4.49,0.215586,-1.78778
4.5,0.197708,-1.80877
4.51,0.17962,-1.82804
4.52,0.16134,-1.84557
4.53,0.142884,-1.86132
4.54,0.124271,-1.87529
4.55,0.105518,-1.88745
4.56,0.0866435,-1.89779
4.57,0.0676656,-1.90627
4.58,0.0486029,-1.91291
4.59,0.0294738,-1.91767
4.6,0.0102971,-1.92056
4.61,-0.00890857,-1.92157
4.62,-0.0281243,-1.9207
4.63,-0.0473313,-1.91794
4.64,-0.0665107,-1.9133
4.65,-0.0856437,-1.90678
4.66,-0.104712,-1.89839
4.67,-0.123695,-1.88814
4.68,-0.142577,-1.87603
4.69,-0.161337,-1.86209
4.7,-0.179958,-1.84633
4.71,-0.198421,-1.82878
4.72,-0.216709,-1.80944
4.73,-0.234804,-1.78834
4.74,-0.252687,-1.76552
4.75,-0.270342,-1.741
4.76,-0.287752,-1.7148
4.77,-0.3049,-1.68696
4.78,-0.32177,-1.65751
4.79,-0.338345,-1.62648
4.8,-0.35461,-1.59392
4.81,-0.370549,-1.55986
4.82,-0.386147,-1.52433
4.83,-0.401391,-1.48739
4.84,-0.416265,-1.44906
4.85,-0.430755,-1.40939
4.86,-0.444849,-1.36843
4.87,-0.458533,-1.32622
4.88,-0.471796,-1.28279
4.89,-0.484624,-1.23821
4.9,-0.497006,-1.19251
4.91,-0.508931,-1.14573
4.92,-0.520388,-1.09793
4.93,-0.531367,-1.04916
4.94,-0.541859,-0.999449
4.95,-0.551853,-0.948856
4.96,-0.561342,-0.897425
4.97,-0.570316,-0.845204
4.98,-0.578768,-0.79224
